Season_Epi_code,Pitched_Business_Identifier,Amount_Asked_For,Exchange_For_Stake,Valuation,Pitched_Business_Desc,Deal_Status,Kevin O'Leary,Lori Greiner,Mark Cuban,Robert Herjavec,Daymond John,Barbara Corcoran,Others,Deal_Shark 1,Deal_Shark 2,Deal_Shark 3,Deal_Shark 4,Deal_Shark 5
101,Ava the Elephant,50000,0.15,333333," (Emmy the Elephant during show, trademarked as Ava after) a plastic elephant-shaped device that helps parents give small children oral medicine . (Emmy the Elephant during show, trademarked as Ava after) a plastic elephant shaped device that lets parents easily give small children oral medicine",1,0,0,0,0,0,1,0,Barbara Corcoran,,,,
101,College Foxes Packing Boxes,250000,0.25,1000000,a packing and organizing service based on an already successful business called College Hunks Hauling Junk . a spinoff professional packing and organizing service based on an already successful junk removal and moving business called College Hunks Hauling Junk,0,0,0,0,0,0,0,0,,,,,
101,Ionic Ear,1000000,0.15,6666667,an implantable Bluetooth device requiring surgery to insert the device into the user's head . an implantable Bluetooth device requiring surgery into your head,0,0,0,0,0,0,0,0,,,,,
101,Mr. Tod's Pie Factory,460000,0.1,4600000,a pie company ,1,0,0,0,0,1,1,0,Barbara Corcoran,Daymond John,,,
101,Wispots,1200000,0.1,12000000,an electronic hand-held device for waiting rooms . an electronic hand-held device for waiting rooms,0,0,0,0,0,0,0,0,,,,,
102,A Perfect Pear,500000,0.15,3333333,a gourmet food business . a gourmet food business,1,0,0,0,1,0,0,0,Robert Herjavec,,,,
102,Attached Note,100000,0.2,500000,a Post-It note arm for laptops . a Post-It note arm for laptops,0,0,0,0,0,0,0,0,,,,,
102,Classroom Jams,250000,0.1,2500000,a musical way to teach students Shakespeare . Who hasnt had to study Shakespeare? Marc Furigay created Classroom Jams “ a musical way to teach Shakespeare to high school kids. What better way to learn Ye Olde English than with music. And he get a deal with ALL the Sharks!,1,1,0,0,1,1,1,0,Barbara Corcoran,Daymond John,Kevin O'Leary,Robert Herjavec,
102,Crooked Jaw,200000,0.2,1000000,a mixed martial arts clothing line . a mixed martial arts clothing line,0,0,0,0,0,0,0,0,,,,,
102,Lifebelt,500000,0.1,5000000,a device that prevents the car from starting without the seat belt being fastened . a device that prevents the car from starting without the seat belt being fastened,0,0,0,0,0,0,0,0,,,,,
103,50 State Capitals in 50 Minutes,155000,0.1,1550000,flashcards to help memorize the USA States and their capitals . a deck of flashcards to help memorize the 50 USA States,0,0,0,0,0,0,0,0,,,,,
103,Kwyzta Chopstick Art,100000,0.1,1000000,household items made from recycled chopsticks ,0,0,0,0,0,0,0,0,,,,,
103,Stress Free Kids,250000,0.2,1250000,a line of books that use stress relieving techniques to calm kids to sleep . a line of books that use stress relieving techniques to calm kids to sleep,1,0,0,0,0,0,1,0,Barbara Corcoran,,,,
103,Turbobaster,35000,0.35,100000,a cooking device for basting ,1,0,0,0,0,0,0,1,Others,,,,
103,Voyage Air Guitar,500000,0.05,10000000,a guitar design that folds the guitar into a backpack . a guitar design that folds the guitar into a backpack,0,0,0,0,0,0,0,0,,,,,
104,Coffee Brand Gifts,300000,0.4,750000,on plush toys . a company that holds the patents to put the words,0,0,0,0,0,0,0,0,,,,,
104,Coverplay,350000,0.15,2333333,a slip cover for children's travel play yards ,1,0,0,0,0,0,1,0,Barbara Corcoran,,,,
104,Gift Card Rescue,150000,0.3,500000,a web site that buys and resells unused gift cards . a web site that buys and resells unused gift cards,1,1,0,0,1,0,0,0,Kevin O'Leary,Robert Herjavec,,,
104,Graffiti Removal Services,350000,0.15,2333333,a graffiti removal service franchise ,0,0,0,0,0,0,0,0,,,,,
104,Soul's Calling,150000,0.25,600000,a line of inspirational accessories and gift items ,0,0,0,0,0,0,0,0,,,,,
105,Body Jac,180000,0.2,900000,a fitness machine to make pushups easier . a fitness machine to make pushups easier,1,0,0,0,0,0,1,0,Barbara Corcoran,,,,
105,Face Blok,50000,0.3,166667,a line of stylized surgical face masks . a line of stylized surgical face masks,0,0,0,0,0,0,0,0,,,,,
105,Good Grief Celebrations,50000,0.25,200000,a funeral concierge service . a funeral concierge service,0,0,0,0,0,0,0,0,,,,,
105,Granola Gourmet,175000,0.25,700000,a line of granola bars that diabetics can eat . a line of granola bars that diabetics can eat,0,0,0,0,0,0,0,0,,,,,
105,My Therapy Journal,80000,0.2,400000,a web site that allows people to write in a journal and gauge their emotional state . a web site that allows people to write in a journal and gauge their emotional state,1,1,0,0,1,0,0,0,Kevin O'Leary,Robert Herjavec,,,
106,Element Bars,150000,0.15,1000000,"a company that manufactures custom energy bars . Element Bars Custom Whole Food Bars lets you create your own custom energy bar by selecting the natural ingredients you prefer. The organic ingredients are hand selected and only the highest of quality make the cut. Element Bars are healthy and taste absolutely delicious. Choose your core granola flavor, fruits, nuts, sweets, boosts and name your bar what you want today!",1,0,0,0,0,0,0,1,Others,,,,
106,Kalyx,125000,0.2,625000,a line of sports bras ,0,0,0,0,0,0,0,0,,,,,
