Id,Title,Episode,Season,Episode Code,Category,Entrepreneurs,Location,City,State,Website,Amount Asked For,Exchange For Stake,Valuation,Shark 1,Shark 2,Shark 3,Shark 4,Shark 5,Deal Status,Shark(s) That Made a Deal,Deal Shark 1,Deal Shark 2,Deal Shark 3,Deal Shark 4,Deal Shark 5,Multiple Entreprenuers,Description
1,Ionic Ear,1,1,101,Novelties,Darrin Johnson,"St. Paul, MN",St. Paul, MN,,1000000,0.15,6666667,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,No Deal Made,,,,,,,FALSE,Bluetooth device implant for your ear.
2,Mr. Tod's Pie Factory,1,1,101,Specialty Food,Tod Wilson,"Somerset, NJ",Somerset, NJ,http://whybake.com/,460000,0.1,4600000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,Deal Made,BC+DJ,Barbara Corcoran,Daymond John,,,,FALSE,Retail and wholesale pie factory with two retail locations in New Jersey.
3,Ava the Elephant,1,1,101,Baby and Child Care,Tiffany Krumins,"Atlanta, GA",Atlanta, GA,http://www.avatheelephant.com/,50000,0.15,333333,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,Deal Made,BC,Barbara Corcoran,,,,,FALSE,Ava the Elephant is a godsend for frazzled parents of young children everywhere. This talking medicine dispenser makes it easy to administer medicine to little ones by turning the experience more playful and by providing positive reinforcement.
4,College Foxes Packing Boxes,1,1,101,Consumer Services,"Nick Friedman, Omar Soliman","Tampa, FL",Tampa, FL,http://collegehunkshaulingjunk.com/,250000,0.25,1000000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,No Deal Made,,,,,,,FALSE,"Organizing, packing, and moving services delivered by college women."
5,Wispots,1,1,101,Consumer Services,Kevin Flannery,"Cary, NC",Cary, NC,http://www.wispots.com/,1200000,0.1,12000000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,No Deal Made,,,,,,,FALSE,Interactive media centers for healthcare waiting rooms offering patients web access and educational information.
6,A Perfect Pear,2,1,102,Specialty Food,Susan Knapp,"Napa Valley, CA",Napa Valley, CA,http://www.aperfectpear.com,500000,0.15,3333333,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,Deal Made,RH,Robert Herjavec,,,,,FALSE,"One of the first entrepreneurs to pitch on Shark Tank, Susan Knapp presented A Perfect Pear, her line of pear-focused gourmet food products. Sold across 650 retail stores, the Perfect Pear product portfolio includes jams, jellies, spreads, tapenades, vinegars, marinades, dressings and many others, all designed to showcase the flavors and health benefits of pears."
7,Crooked Jaw,2,1,102,Men and Women's Apparel,Craig French,"Hollywood, CA",Hollywood, CA,http://crookedjawfashions.com/,200000,0.2,1000000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,No Deal Made,,,,,,,FALSE,A mixed martial arts clothing line looking to become the next big brand of active sports / streetwear apparel.
8,Attach Noted,2,1,102,Productivity Tools,Mary Ellen Simonson,"Gardena, CA",Gardena, CA,http://www.attachnoted.com/,100000,0.2,500000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,No Deal Made,,,,,,,FALSE,"Attach Noted is a detachable ""arm"" that holds Post-It notes on the side of a laptop screen."
9,Lifebelt,2,1,102,Automotive,Robert Alison,"Las Vegas, NV",Las Vegas, NV,http://www.nobucklenostart.com/,500000,0.1,5000000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,No Deal Made,,,,,,,FALSE,A safety device for seatbelts. It prevents the driver from starting the vehicle unless the seatbelt is buckled.
10,Classroom Jams,2,1,102,Education,Mark Furigay,"Chicago, IL",Chicago, IL,,250000,0.1,2500000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,Deal Made,BC+DJ+KOL+RH,Barbara Corcoran,Daymond John,Kevin O'Leary,Robert Herjavec,,FALSE,An educational record label and publishing house designed to get students into learning about classic works of literature.
11,Turbobaster,3,1,103,Kitchen Tools,Marian Cruz,"San Francisco, CA",San Francisco, CA,,35000,0.35,100000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,Deal Made,Others,Others,,,,,FALSE,"A battery-operated cooking device that siphons juice, has a silicone basting brush and an injector tip for marinades."
12,Kwytza Chopstick Art,3,1,103,Kitchen Tools,Brian Parks,"Eugene, OR",Eugene, OR,http://www.chopstickart.com/,100000,0.1,1000000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,No Deal Made,,,,,,,FALSE,Household items with a twist: made from recycled chopsticks.
13,Stress Free Kids,3,1,103,Baby and Child Care,Lori Lite,"Marietta, GA",Marietta, GA,http://www.stressfreekids.com,250000,0.2,1250000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,Deal Made,BC,Barbara Corcoran,,,,,FALSE,A line of books written to help children find inner calm.
14,Voyage Air Guitar,3,1,103,Music,Jeff and Josh Cohen,"Livermore, CA",Livermore, CA,http://www.voyageairguitar.com/,500000,0.05,10000000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,No Deal Made,,,,,,,TRUE,"Guitars with a folding neck, designed to fit into a backpack or an overhead compartment on an airplane."
15,50 State Capitals in 50 Minutes,3,1,103,Education,Ken Bradford,"Dallas, TX",Dallas, TX,http://www.amazon.com/50-State-Capitals-Fun-Minutes/dp/0967970822,155000,0.1,1550000,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,No Deal Made,,,,,,,FALSE,"50 State Capitals in 50 Fun Minutes is the most efficient and entertaining method to learn about US geography. This set of flash cards combines phonetics, cartoons, and associations to keep kids' interest and drive long-term learning and retention. Author Ken Bradford worked closely with public and private school teachers to develop this fun and satisfying study aide."
16,Graffiti Removal Services,4,1,104,Professional Services,Paul Watts,"Portland, OR",Portland, OR,http://removegraffiti.net/,350000,0.15,2333333,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,No Deal Made,,,,,,,FALSE,A franchise-model company offering professional graffiti removal.
17,Coverplay,4,1,104,Baby and Child Care,Amy Feldman and Allison Costa,"Los Angeles, CA",Los Angeles, CA,http://www.coverplayard.com/,350000,0.15,2333333,Barbara Corcoran,Robert Herjavec,Kevin O'Leary,Daymond John,Kevin Harrington,Deal Made,BC,Barbara Corcoran,,,,,TRUE,"Coverplay is a slipcover for children's play yards. Much like a mattress, play yards can't be laundered, yet babies and children spend lots of time in them, so you can guess what that leads to. Coverplay to the rescue! Fitting snugly over most standard size play yards, Coverplay offers a quick solution to add another layer of protection between your child and the germ-harboring surface of the play yard. Made of 95% cotton and 5% Lycra, Coverplay is machine-washable and easy to maintain. Indeed, throwing a Coverplay slipcover into the wash is much easier than trying to remove a spill that's gone directly onto the play yard. With their bright and stylish designs, they'll also make any play yard look as good as new."
